scene,mode,psnr,ssim,lpips
bicycle,test,23.839230574731317,0.6075366906284492,0.43973965346813204
bicycle,train,23.208042322092293,0.6526973505043572,0.40980006271653624
bonsai,test,30.862896674155696,0.9198058071761247,0.22095412348170537
bonsai,train,31.65179767957485,0.9272979080956574,0.21598516325740252
counter,test,28.46046161084677,0.8878730484972036,0.2104464345451059
counter,train,29.707571707504954,0.9044367472899856,0.19547274378591806
garden,test,26.02971119329824,0.7846271505960744,0.286977325566113
garden,train,27.204286303567194,0.809904499189493,0.2775846944184777
kitchen,test,30.165700544640586,0.9261503418201239,0.12512081473001413
kitchen,train,31.348773721142116,0.939768873496616,0.11332091380322933
room,test,31.12211900489732,0.9180353008034832,0.23080176372940725
room,train,33.27509860210392,0.9327931858756413,0.21784821878570843
stump,test,23.9706070547841,0.5903030141254049,0.48813885916024446
stump,train,24.376020369498956,0.6212167245951854,0.4829667630272174
